date,species,block,street,trap,latitude,longitude,addressaccuracy,nummosquitos,wnvpresent,tavg,dewpoint,wetbulb,codesum,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day
2007-05-29,CULEX PIPIENS/RESTUANS,41.0, N OAK PARK AVE,T002,41.95469,-87.800991,9.0,1.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX RESTUANS,41.0, N OAK PARK AVE,T002,41.95469,-87.800991,9.0,1.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX RESTUANS,62.0, N MANDELL AVE,T007,41.994991,-87.769279,9.0,1.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX PIPIENS/RESTUANS,79.0, W FOSTER AVE,T015,41.974089,-87.824812,8.0,1.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX RESTUANS,79.0, W FOSTER AVE,T015,41.974089,-87.824812,8.0,4.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX RESTUANS,15.0, W WEBSTER AVE,T045,41.9216,-87.666455,8.0,2.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX RESTUANS,25.0, W GRAND AVE,T046,41.891118,-87.654491,8.0,1.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX PIPIENS/RESTUANS,11.0, W ROOSEVELT,T048,41.867108,-87.654224,8.0,1.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX RESTUANS,11.0, W ROOSEVELT,T048,41.867108,-87.654224,8.0,2.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX RESTUANS,11.0, W CHICAGO,T049,41.896282,-87.655232,8.0,1.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX PIPIENS/RESTUANS,21.0, N STAVE ST,T050,41.919343,-87.694259,8.0,1.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX PIPIENS/RESTUANS,22.0, N CANNON DR,T054,41.921965,-87.632085,8.0,2.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX RESTUANS,22.0, N CANNON DR,T054,41.921965,-87.632085,8.0,3.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX PIPIENS/RESTUANS,22.0, W 113TH ST,T086,41.688324,-87.676709,8.0,1.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX RESTUANS,22.0, W 113TH ST,T086,41.688324,-87.676709,8.0,1.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX RESTUANS,11.0, S PEORIA ST,T091,41.862292,-87.64886,8.0,1.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX RESTUANS,17.0, W 95TH ST,T094,41.720848,-87.666014,9.0,3.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX RESTUANS,22.0, W 89TH ST,T096,41.731922,-87.677512,8.0,5.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX PIPIENS,22.0, W 89TH ST,T096,41.731922,-87.677512,8.0,1.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX PIPIENS/RESTUANS,53.0, N STREETER DR,T129,41.891126,-87.61156,5.0,1.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX RESTUANS,53.0, N STREETER DR,T129,41.891126,-87.61156,5.0,2.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX PIPIENS/RESTUANS,65.0, N OAK PARK AVE,T143,41.999129,-87.795585,8.0,1.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX PIPIENS/RESTUANS,75.0, N OAKLEY AVE,T148,42.01743,-87.687769,8.0,1.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX RESTUANS,15.0, N LONG AVE,T153,41.907645,-87.760886,8.0,1.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-05-29,CULEX RESTUANS,89.0, S CARPENTER ST,T159,41.732984,-87.649642,8.0,1.0,0.0,74.0,58.0,65.0,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29
2007-06-05,CULEX PIPIENS/RESTUANS,41.0, N OAK PARK AVE,T002,41.95469,-87.800991,9.0,3.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX RESTUANS,41.0, N OAK PARK AVE,T002,41.95469,-87.800991,9.0,5.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX PIPIENS,41.0, N OAK PARK AVE,T002,41.95469,-87.800991,9.0,1.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX PIPIENS/RESTUANS,79.0, W FOSTER AVE,T015,41.974089,-87.824812,8.0,1.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX RESTUANS,79.0, W FOSTER AVE,T015,41.974089,-87.824812,8.0,2.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX PIPIENS/RESTUANS,15.0, W WEBSTER AVE,T045,41.9216,-87.666455,8.0,1.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX RESTUANS,15.0, W WEBSTER AVE,T045,41.9216,-87.666455,8.0,2.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX PIPIENS,15.0, W WEBSTER AVE,T045,41.9216,-87.666455,8.0,1.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX RESTUANS,25.0, W GRAND AVE,T046,41.891118,-87.654491,8.0,1.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX PIPIENS/RESTUANS,11.0, W ROOSEVELT,T048,41.867108,-87.654224,8.0,1.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX RESTUANS,11.0, W ROOSEVELT,T048,41.867108,-87.654224,8.0,1.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX PIPIENS,11.0, W ROOSEVELT,T048,41.867108,-87.654224,8.0,2.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX RESTUANS,11.0, W CHICAGO,T049,41.896282,-87.655232,8.0,2.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX PIPIENS/RESTUANS,21.0, N STAVE ST,T050,41.919343,-87.694259,8.0,1.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX RESTUANS,21.0, N STAVE ST,T050,41.919343,-87.694259,8.0,1.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX RESTUANS,22.0, N CANNON DR,T054,41.921965,-87.632085,8.0,3.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX RESTUANS,22.0, W 113TH ST,T086,41.688324,-87.676709,8.0,4.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX PIPIENS/RESTUANS,17.0, W 95TH ST,T094,41.720848,-87.666014,9.0,2.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX PIPIENS/RESTUANS,22.0, W 89TH ST,T096,41.731922,-87.677512,8.0,1.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX RESTUANS,22.0, W 89TH ST,T096,41.731922,-87.677512,8.0,1.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX PIPIENS,22.0, W 89TH ST,T096,41.731922,-87.677512,8.0,1.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX PIPIENS/RESTUANS,65.0, N OAK PARK AVE,T143,41.999129,-87.795585,8.0,2.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX RESTUANS,65.0, N OAK PARK AVE,T143,41.999129,-87.795585,8.0,9.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
2007-06-05,CULEX RESTUANS,15.0, N LONG AVE,T153,41.907645,-87.760886,8.0,3.0,0.0,56.0,48.0,51.0,RA BR,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5
